     0.374 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, oact: 0x7fb8afdffdb0, sigsetsize: 8         ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, act: 0x7fb8afdffd10, sigsetsize: 8          ) = 0
     0.381 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.383 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.385 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CONT, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CONT, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TSTP, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TSTP, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTIN, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.396 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTIN, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.398 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTOU, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTOU, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, oact: 0x7fb8afdffdb0, sigsetsize: 8            ) = 0
     0.404 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, act: 0x7fb8afdffd10, sigsetsize: 8             ) = 0
     0.406 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.412 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, oact: 0x7fb8afdffdb0, sigsetsize: 8         ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, act: 0x7fb8afdffd10, sigsetsize: 8          ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.422 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, oact: 0x7fb8afdffdb0, sigsetsize: 8          ) = 0
     0.423 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, act: 0x7fb8afdffd10, sigsetsize: 8           ) = 0
     0.425 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, oact: 0x7fb8afdffdb0, sigsetsize: 8             ) = 0
     0.427 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, act: 0x7fb8afdffd10, sigsetsize: 8              ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, oact: 0x7fb8afdffdb0, sigsetsize: 8            ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, act: 0x7fb8afdffd10, sigsetsize: 8             ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, oact: 0x7fb8afdffdb0, sigsetsize: 8            ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, act: 0x7fb8afdffd10, sigsetsize: 8             ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x20, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x21, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.446 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.449 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
