     0.360 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.362 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7fa6efd8adb0, sigsetsize: 8            ) = 0
     0.364 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7fa6efd8ad10, sigsetsize: 8             ) = 0
     0.366 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7fa6efd8adb0, sigsetsize: 8            ) = 0
     0.368 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7fa6efd8ad10, sigsetsize: 8             ) = 0
     0.370 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.375 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.377 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.381 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.383 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.388 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.390 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
