         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x5647aee71000
     0.417 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7fc2016c3db0, sigsetsize: 8            ) = 0
     0.419 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7fc2016c3d10, sigsetsize: 8             ) = 0
     0.421 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.422 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.425 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.427 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.430 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.432 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.438 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7fc2016c3db0, sigsetsize: 8         ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7fc2016c3d10, sigsetsize: 8          ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.446 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.451 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.454 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.456 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7fc2016c3db0, sigsetsize: 8            ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7fc2016c3d10, sigsetsize: 8             ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.467 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.469 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7fc2016c3db0, sigsetsize: 8         ) = 0
