         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ccf6aff000
     0.379 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ABRT, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.381 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ABRT, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.383 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: BUS, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: BUS, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: FPE, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: FPE, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR1, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR1, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SEGV, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SEGV, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR2, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.397 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR2, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PIPE, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PIPE, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ALRM, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.403 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ALRM, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.405 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.407 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, oact: 0x7f4aa1d0fdb0, sigsetsize: 8         ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, act: 0x7f4aa1d0fd10, sigsetsize: 8          ) = 0
     0.411 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.413 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.415 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CONT, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CONT, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TSTP, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.419 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TSTP, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.421 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTIN, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
