         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.851 ( 0.003 ms): sleep/8 mprotect(start: 0x7fca3ed5d000, len: 4096, prot: READ                 ) = 0
     0.855 ( 0.004 ms): sleep/8 munmap(addr: 0x7fca3ed59000, len: 13580                               ) = 0
     0.217 ([33m 0.702 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     0.921 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.924 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd0c66e2e8, count: 4                             ) = 0
     0.926 ( 0.005 ms): pesquisaOverhe/7 munmap(addr: 0x7f9c4f598000, len: 36864                               ) = 0
     0.932 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.937 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffd0c66e378, sigsetsize: 8      ) = 0
     0.948 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
     1.035 ( 0.002 ms): sleep/8 brk(                                                                  ) = 0x5628a47b8000
     1.038 ( 0.002 ms): sleep/8 brk(brk: 0x5628a47d9000                                               ) = 0x5628a47d9000
     1.058 ([33m 0.058 ms[m): sleep/8 nanosleep(rqtp: 0x7ffed809ca00                                        ) = 0
     1.124 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.127 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.132 (     ?   ): sleep/8 exit_group(                                                           )
     1.132 ([31m18446744073708.781 ms[m): sleep/8  ... [[33mcontinued[m]: clone()
     0.363 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.365 ( 0.001 ms): sleep/8 rt_sigprocmask(how: BLOCK, oset: 0x7f9c4f5a0ea0, sigsetsize: 8        ) = 0
     0.367 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.369 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.371 ( 0.001 ms): sleep/8 rt_sigaction(sig: INT, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.372 ( 0.001 ms): sleep/8 rt_sigaction(sig: INT, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.374 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.376 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.377 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.380 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.382 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.384 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.385 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.387 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.388 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.390 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.393 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.397 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.398 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.400 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.401 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.403 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.405 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.406 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.408 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.409 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.411 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.413 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, oact: 0x7f9c4f5a0db0, sigsetsize: 8         ) = 0
     0.414 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, act: 0x7f9c4f5a0d10, sigsetsize: 8          ) = 0
     0.416 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
