         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.877 ( 0.003 ms): sleep/8 mprotect(start: 0x7fa5ce5f1000, len: 4096, prot: READ                 ) = 0
     0.881 ( 0.004 ms): sleep/8 munmap(addr: 0x7fa5ce5ed000, len: 13580                               ) = 0
     0.934 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55fab78fa000
     0.934 ( 0.006 ms): sleep/8  ... [[33mcontinued[m]: brk()) = 0x55fab791b000
     0.934 ([31m18446744073708.977 ms[m): sleep/8  ... [[33mcontinued[m]: clone()
     0.363 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.365 ( 0.001 ms): sleep/8 rt_sigprocmask(how: BLOCK, oset: 0x7f8e9d284ea0, sigsetsize: 8        ) = 0
     0.367 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.369 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.371 ( 0.001 ms): sleep/8 rt_sigaction(sig: INT, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.372 ( 0.001 ms): sleep/8 rt_sigaction(sig: INT, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.374 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.376 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.377 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.380 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.382 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.384 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.385 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.387 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.388 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.390 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.393 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.397 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.398 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.400 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.402 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.403 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.405 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.406 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.408 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.410 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.411 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.413 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, oact: 0x7f8e9d284db0, sigsetsize: 8         ) = 0
     0.414 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, act: 0x7f8e9d284d10, sigsetsize: 8          ) = 0
     0.416 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.418 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.419 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.421 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.422 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.424 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.426 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.427 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
