     1.229 ( 0.003 ms): sleep/8 mmap(addr: 0x7fc1635dc000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fc1635dc000
     1.237 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.250 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140468574741632                        ) = 0
     1.293 ( 0.005 ms): sleep/8 mprotect(start: 0x7fc1635d6000, len: 16384, prot: READ                ) = 0
     1.302 ( 0.005 ms): sleep/8 mprotect(start: 0x562ffd673000, len: 4096, prot: READ                 ) = 0
     1.310 ( 0.002 ms): sleep/8 mprotect(start: 0x7fc163803000, len: 4096, prot: READ                 ) = 0
     1.313 ( 0.005 ms): sleep/8 munmap(addr: 0x7fc1637ff000, len: 13580                               ) = 0
     1.382 ( 0.002 ms): sleep/8 brk(                                                                  ) = 0x562ffe258000
     1.385 ( 0.003 ms): sleep/8 brk(brk: 0x562ffe279000                                               ) = 0x562ffe279000
     1.411 ([33m 0.073 ms[m): sleep/8 nanosleep(rqtp: 0x7ffc15dad630                                        ) = 0
     1.494 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.497 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.502 (     ?   ): sleep/8 exit_group(                                                           )
     1.502 ([31m18446744073708.676 ms[m): sleep/8  ... [[33mcontinued[m]: clone()
     0.634 ( 0.002 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.638 ( 0.001 ms): sleep/8 rt_sigprocmask(how: BLOCK, oset: 0x7f5523d30ea0, sigsetsize: 8        ) = 0
     0.641 ( 0.002 ms): sleep/8 rt_sigaction(sig: HUP, oact: 0x7f5523d30db0, sigsetsize: 8            ) = 0
     0.644 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, act: 0x7f5523d30d10, sigsetsize: 8             ) = 0
     0.647 ( 0.002 ms): sleep/8 rt_sigaction(sig: INT, oact: 0x7f5523d30db0, sigsetsize: 8            ) = 0
     0.650 ( 0.002 ms): sleep/8 rt_sigaction(sig: INT, act: 0x7f5523d30d10, sigsetsize: 8             ) = 0
     0.653 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.655 ( 0.002 ms): sleep/8 rt_sigaction(sig: QUIT, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.658 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, oact: 0x7f5523d30db0, sigsetsize: 8            ) = 0
     0.660 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, act: 0x7f5523d30d10, sigsetsize: 8             ) = 0
     0.663 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.665 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.667 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.669 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.672 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, oact: 0x7f5523d30db0, sigsetsize: 8            ) = 0
     0.674 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, act: 0x7f5523d30d10, sigsetsize: 8             ) = 0
     0.676 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, oact: 0x7f5523d30db0, sigsetsize: 8            ) = 0
     0.679 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, act: 0x7f5523d30d10, sigsetsize: 8             ) = 0
     0.682 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.684 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.687 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.689 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.692 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.694 ( 0.002 ms): sleep/8 rt_sigaction(sig: USR2, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.697 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.699 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.701 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.704 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.706 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.708 ( 0.002 ms): sleep/8 rt_sigaction(sig: TERM, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.711 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, oact: 0x7f5523d30db0, sigsetsize: 8         ) = 0
     0.713 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, act: 0x7f5523d30d10, sigsetsize: 8          ) = 0
     0.715 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.718 ( 0.002 ms): sleep/8 rt_sigaction(sig: CHLD, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.721 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.723 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
     0.726 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, oact: 0x7f5523d30db0, sigsetsize: 8           ) = 0
     0.729 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, act: 0x7f5523d30d10, sigsetsize: 8            ) = 0
