     0.343 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.346 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.348 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f3f98ecfdb0, sigsetsize: 8            ) = 0
     0.350 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f3f98ecfd10, sigsetsize: 8             ) = 0
     0.352 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f3f98ecfdb0, sigsetsize: 8            ) = 0
     0.354 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f3f98ecfd10, sigsetsize: 8             ) = 0
     0.356 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.358 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.360 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.363 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.369 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.371 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.380 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f3f98ecfdb0, sigsetsize: 8         ) = 0
