         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.034 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x556c4eb3d000
     0.640 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.643 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7ff4cc973db0, sigsetsize: 8            ) = 0
     0.645 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7ff4cc973d10, sigsetsize: 8             ) = 0
     0.648 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7ff4cc973db0, sigsetsize: 8            ) = 0
     0.650 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7ff4cc973d10, sigsetsize: 8             ) = 0
     0.652 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.654 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.657 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.659 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.661 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.664 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.666 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.668 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.670 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.672 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.674 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.676 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.678 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7ff4cc973db0, sigsetsize: 8         ) = 0
     0.682 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7ff4cc973d10, sigsetsize: 8          ) = 0
     0.684 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.687 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.689 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.691 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.694 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.696 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.698 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.700 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.702 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.704 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.706 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7ff4cc973db0, sigsetsize: 8            ) = 0
     0.708 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7ff4cc973d10, sigsetsize: 8             ) = 0
     0.710 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.712 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.715 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.717 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.719 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7ff4cc973db0, sigsetsize: 8         ) = 0
     0.721 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7ff4cc973d10, sigsetsize: 8          ) = 0
     0.724 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.726 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.728 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7ff4cc973db0, sigsetsize: 8          ) = 0
     0.731 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7ff4cc973d10, sigsetsize: 8           ) = 0
     0.733 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7ff4cc973db0, sigsetsize: 8             ) = 0
     0.735 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7ff4cc973d10, sigsetsize: 8              ) = 0
     0.737 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7ff4cc973db0, sigsetsize: 8            ) = 0
     0.739 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7ff4cc973d10, sigsetsize: 8             ) = 0
     0.741 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7ff4cc973db0, sigsetsize: 8            ) = 0
     0.743 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7ff4cc973d10, sigsetsize: 8             ) = 0
     0.745 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.748 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.750 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.752 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.754 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.756 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.758 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.760 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.762 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.764 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.766 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.768 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.770 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.772 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.774 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.776 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.778 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.780 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.782 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.785 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.787 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.789 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.791 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.793 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.795 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.797 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.800 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.802 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.804 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.806 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.808 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.810 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
