     0.618 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.619 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f29364f3db0, sigsetsize: 8            ) = 0
     0.621 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f29364f3d10, sigsetsize: 8             ) = 0
     0.623 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f29364f3db0, sigsetsize: 8            ) = 0
     0.625 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f29364f3d10, sigsetsize: 8             ) = 0
     0.627 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.629 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.631 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.633 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.635 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.637 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.638 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.640 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.642 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.644 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.646 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.648 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.650 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f29364f3db0, sigsetsize: 8         ) = 0
     0.652 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f29364f3d10, sigsetsize: 8          ) = 0
     0.654 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.655 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.658 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.660 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.662 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.664 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.666 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.668 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.670 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.672 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.674 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f29364f3db0, sigsetsize: 8            ) = 0
     0.676 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f29364f3d10, sigsetsize: 8             ) = 0
     0.678 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.680 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.682 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.684 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.686 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f29364f3db0, sigsetsize: 8         ) = 0
     0.688 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f29364f3d10, sigsetsize: 8          ) = 0
     0.690 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.691 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.693 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f29364f3db0, sigsetsize: 8          ) = 0
     0.695 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f29364f3d10, sigsetsize: 8           ) = 0
     0.697 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7f29364f3db0, sigsetsize: 8             ) = 0
     0.699 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f29364f3d10, sigsetsize: 8              ) = 0
     0.701 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f29364f3db0, sigsetsize: 8            ) = 0
     0.703 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f29364f3d10, sigsetsize: 8             ) = 0
     0.705 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f29364f3db0, sigsetsize: 8            ) = 0
     0.707 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f29364f3d10, sigsetsize: 8             ) = 0
     0.709 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.711 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.713 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.715 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.717 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.719 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.721 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.723 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.725 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.727 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.729 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.731 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.734 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.736 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.738 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.740 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.742 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.744 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.746 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.748 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.750 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.752 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.754 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.756 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.758 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.760 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.762 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.764 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.766 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.767 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.769 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
