     0.354 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f290732cdb0, sigsetsize: 8            ) = 0
     0.356 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f290732cd10, sigsetsize: 8             ) = 0
     0.359 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f290732cdb0, sigsetsize: 8            ) = 0
     0.361 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f290732cd10, sigsetsize: 8             ) = 0
     0.363 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.369 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.371 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.380 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.388 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f290732cdb0, sigsetsize: 8         ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f290732cd10, sigsetsize: 8          ) = 0
     0.393 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
