         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: execve()) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: FPE, act: 0x7fe1bfb9fd10, sigsetsize: 8             ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: USR1, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: USR1, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: SEGV, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.392 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: SEGV, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: USR2, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: USR2, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.397 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: PIPE, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: PIPE, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: ALRM, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: ALRM, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.403 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TERM, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.405 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TERM, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.407 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: STKFLT, oact: 0x7fe1bfb9fdb0, sigsetsize: 8         ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: STKFLT, act: 0x7fe1bfb9fd10, sigsetsize: 8          ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: CHLD, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.412 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: CHLD, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.413 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: CONT, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.415 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: CONT, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TSTP, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TSTP, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TTIN, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.421 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TTIN, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.423 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TTOU, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: TTOU, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: URG, oact: 0x7fe1bfb9fdb0, sigsetsize: 8            ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: URG, act: 0x7fe1bfb9fd10, sigsetsize: 8             ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: XCPU, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: XCPU, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.432 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: XFSZ, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: XFSZ, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.436 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: VTALRM, oact: 0x7fe1bfb9fdb0, sigsetsize: 8         ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: VTALRM, act: 0x7fe1bfb9fd10, sigsetsize: 8          ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: PROF, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: PROF, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: WINCH, oact: 0x7fe1bfb9fdb0, sigsetsize: 8          ) = 0
     0.444 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: WINCH, act: 0x7fe1bfb9fd10, sigsetsize: 8           ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: IO, oact: 0x7fe1bfb9fdb0, sigsetsize: 8             ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: IO, act: 0x7fe1bfb9fd10, sigsetsize: 8              ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: PWR, oact: 0x7fe1bfb9fdb0, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: PWR, act: 0x7fe1bfb9fd10, sigsetsize: 8             ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: SYS, oact: 0x7fe1bfb9fdb0, sigsetsize: 8            ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: SYS, act: 0x7fe1bfb9fd10, sigsetsize: 8             ) = 0
