     0.425 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.427 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, oact: 0x7fe89207edb0, sigsetsize: 8          ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, act: 0x7fe89207ed10, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, oact: 0x7fe89207edb0, sigsetsize: 8             ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, act: 0x7fe89207ed10, sigsetsize: 8              ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, oact: 0x7fe89207edb0, sigsetsize: 8            ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, act: 0x7fe89207ed10, sigsetsize: 8             ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, oact: 0x7fe89207edb0, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, act: 0x7fe89207ed10, sigsetsize: 8             ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x20, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x21, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.454 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.456 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x25, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x25, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.462 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x26, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x26, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x27, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x27, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.470 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x28, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x28, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x29, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x29, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2a, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2a, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2b, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.483 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2b, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2c, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2c, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2d, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2d, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2e, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2e, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2f, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2f, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.524 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.526 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.528 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, oact: 0x7fe89207edb0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, act: 0x7fe89207ed10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffc0f740e28, sigsetsize: 8      ) = 0
     0.581 ([33m 0.018 ms[m): pesquisaOverhe/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = -2
     0.600 ( 0.005 ms): pesquisaOverhe/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = -2
     0.606 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = -2
     0.611 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = -2
     0.616 ( 0.004 ms): pesquisaOverhe/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = -2
     0.622 ([33m 0.011 ms[m): pesquisaOverhe/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = -2
     0.634 ([33m 0.072 ms[m): sleep/7 execve(filename: 0x9207ed80, argv: 0x7ffc0f7410d0                     ) = 0
     0.721 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x5619e2826000
     0.733 ( 0.003 ms): sleep/7 access(filename: 0x3e0444e7                                           ) = -1 ENOENT No such file or directory
     0.738 ( 0.002 ms): sleep/7 access(filename: 0x3e046c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.743 ( 0.003 ms): sleep/7 open(filename: 0x3e044988, flags: CLOEXEC                             ) = 3
     0.748 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7fffae436f80                                  ) = 0
     0.751 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fac3e246000
     0.756 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.759 ( 0.002 ms): sleep/7 access(filename: 0x3e0444e7                                           ) = -1 ENOENT No such file or directory
     0.763 ( 0.004 ms): sleep/7 open(filename: 0x3e24cd68, flags: CLOEXEC                             ) = 3
     0.769 ( 0.002 ms): sleep/7 read(fd: 3, buf: 0x7fffae437128, count: 832                           ) = 832
     0.772 ( 0.001 ms): sleep/7 fstat(fd: 3, statbuf: 0x7fffae436fc0                                  ) = 0
     0.775 ( 0.003 ms): sleep/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fac3e244000
     0.781 ( 0.003 ms): sleep/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fac3dc88000
     0.786 ( 0.004 ms): sleep/7 mprotect(start: 0x7fac3de1d000, len: 2097152                          ) = 0
     0.791 ( 0.005 ms): sleep/7 mmap(addr: 0x7fac3e01d000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fac3e01d000
     0.800 ( 0.003 ms): sleep/7 mmap(addr: 0x7fac3e023000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fac3e023000
     0.808 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.820 ( 0.001 ms): sleep/7 arch_prctl(option: 4098, arg2: 140377753670784                        ) = 0
     0.862 ( 0.005 ms): sleep/7 mprotect(start: 0x7fac3e01d000, len: 16384, prot: READ                ) = 0
     0.871 ( 0.003 ms): sleep/7 mprotect(start: 0x5619e2317000, len: 4096, prot: READ                 ) = 0
     0.877 ( 0.002 ms): sleep/7 mprotect(start: 0x7fac3e24a000, len: 4096, prot: READ                 ) = 0
     0.880 ( 0.004 ms): sleep/7 munmap(addr: 0x7fac3e246000, len: 13580                               ) = 0
     0.930 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x5619e2826000
     0.933 ( 0.003 ms): sleep/7 brk(brk: 0x5619e2847000                                               ) = 0x5619e2847000
     0.954 ([33m 0.296 ms[m): sleep/7 nanosleep(rqtp: 0x7fffae4378d0                                        ) = 0
     1.263 ( 0.001 ms): sleep/7 close(fd: 1                                                           ) = 0
     1.266 ( 0.001 ms): sleep/7 close(fd: 2                                                           ) = 0
     1.270 (     ?   ): sleep/7 exit_group(                                                           )
