         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55c540ae9000
     0.360 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.362 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.363 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.368 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.370 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.371 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.375 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f9541ba8db0, sigsetsize: 8         ) = 0
     0.381 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f9541ba8d10, sigsetsize: 8          ) = 0
     0.383 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
