     0.380 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f5b7d575db0, sigsetsize: 8            ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f5b7d575d10, sigsetsize: 8             ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f5b7d575db0, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f5b7d575d10, sigsetsize: 8             ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.393 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.397 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.404 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.406 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
