     0.340 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.342 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f399b52edb0, sigsetsize: 8            ) = 0
     0.344 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f399b52ed10, sigsetsize: 8             ) = 0
     0.346 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f399b52edb0, sigsetsize: 8            ) = 0
     0.348 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f399b52ed10, sigsetsize: 8             ) = 0
     0.350 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.353 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.355 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.357 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.359 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.361 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.363 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.368 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.370 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.372 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.374 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f399b52edb0, sigsetsize: 8         ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f399b52ed10, sigsetsize: 8          ) = 0
     0.380 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.385 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.393 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.397 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.401 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f399b52edb0, sigsetsize: 8            ) = 0
     0.403 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f399b52ed10, sigsetsize: 8             ) = 0
     0.405 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.407 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.409 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.411 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
     0.413 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f399b52edb0, sigsetsize: 8         ) = 0
     0.415 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f399b52ed10, sigsetsize: 8          ) = 0
     0.417 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f399b52edb0, sigsetsize: 8           ) = 0
     0.419 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f399b52ed10, sigsetsize: 8            ) = 0
