         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     2.615 ([33m 0.015 ms[m): sleep/8 mprotect(start: 0x7f64a3ed8000, len: 4096, prot: READ                 ) = 0
     2.636 ([33m 0.021 ms[m): sleep/8 munmap(addr: 0x7f64a3ed4000, len: 13580                               ) = 0
     2.917 ([33m 0.014 ms[m): sleep/8 brk(                                                                  ) = 0x55746e317000
     2.932 ([33m 0.019 ms[m): sleep/8 brk(brk: 0x55746e338000                                               ) = 0x55746e338000
     0.247 ([31m 4.913 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     5.165 ( 0.002 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     5.170 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd7837b6f8, count: 4                             ) = 0
     5.174 ([33m 0.015 ms[m): pesquisaOverhe/7 munmap(addr: 0x7f1150971000, len: 36864                               ) = 0
     5.190 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     5.195 ( 0.002 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffd7837b788, sigsetsize: 8      ) = 0
     5.209 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
     5.302 ([33m 0.077 ms[m): sleep/8 nanosleep(rqtp: 0x7ffef1e82bb0                                        ) = 0
     5.393 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     5.396 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     5.404 (     ?   ): sleep/8 exit_group(                                                           )
     5.404 ([31m18446744073704.578 ms[m): sleep/8  ... [[33mcontinued[m]: clone()
     0.434 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.436 ( 0.001 ms): sleep/8 rt_sigprocmask(how: BLOCK, oset: 0x7f1150979ea0, sigsetsize: 8        ) = 0
     0.439 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): sleep/8 rt_sigaction(sig: HUP, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.443 ( 0.001 ms): sleep/8 rt_sigaction(sig: INT, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.445 ( 0.001 ms): sleep/8 rt_sigaction(sig: INT, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.447 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.449 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.453 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.455 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.457 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.465 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.467 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.469 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.471 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.485 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, oact: 0x7f1150979db0, sigsetsize: 8         ) = 0
     0.496 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, act: 0x7f1150979d10, sigsetsize: 8          ) = 0
     0.498 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.500 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.502 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.504 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.506 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.508 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.510 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.512 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.514 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.516 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.518 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.520 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.522 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.524 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.526 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.528 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, oact: 0x7f1150979db0, sigsetsize: 8         ) = 0
