         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.369 ( 0.001 ms): sleep/8 rt_sigaction(sig: QUIT, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.371 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, oact: 0x7faf3ebf3db0, sigsetsize: 8            ) = 0
     0.373 ( 0.001 ms): sleep/8 rt_sigaction(sig: ILL, act: 0x7faf3ebf3d10, sigsetsize: 8             ) = 0
     0.375 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.377 ( 0.001 ms): sleep/8 rt_sigaction(sig: TRAP, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.381 ( 0.001 ms): sleep/8 rt_sigaction(sig: ABRT, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.383 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, oact: 0x7faf3ebf3db0, sigsetsize: 8            ) = 0
     0.386 ( 0.001 ms): sleep/8 rt_sigaction(sig: BUS, act: 0x7faf3ebf3d10, sigsetsize: 8             ) = 0
     0.388 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, oact: 0x7faf3ebf3db0, sigsetsize: 8            ) = 0
     0.390 ( 0.001 ms): sleep/8 rt_sigaction(sig: FPE, act: 0x7faf3ebf3d10, sigsetsize: 8             ) = 0
     0.392 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR1, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.396 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.398 ( 0.001 ms): sleep/8 rt_sigaction(sig: SEGV, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.399 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.401 ( 0.001 ms): sleep/8 rt_sigaction(sig: USR2, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.403 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.405 ( 0.001 ms): sleep/8 rt_sigaction(sig: PIPE, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.407 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.409 ( 0.001 ms): sleep/8 rt_sigaction(sig: ALRM, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.411 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.413 ( 0.001 ms): sleep/8 rt_sigaction(sig: TERM, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.415 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, oact: 0x7faf3ebf3db0, sigsetsize: 8         ) = 0
     0.417 ( 0.001 ms): sleep/8 rt_sigaction(sig: STKFLT, act: 0x7faf3ebf3d10, sigsetsize: 8          ) = 0
     0.419 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.421 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.423 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.425 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.427 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.429 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.431 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.433 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.434 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.436 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.438 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, oact: 0x7faf3ebf3db0, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, act: 0x7faf3ebf3d10, sigsetsize: 8             ) = 0
