     0.672 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff57f0d5b8, count: 4                             ) = 0
     0.675 ( 0.008 ms): pesquisaOverhe/7 munmap(addr: 0x7f1fdbb18000, len: 36864                               ) = 0
     0.684 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.688 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7fff57f0d648, sigsetsize: 8      ) = 0
     0.696 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: clone()
     0.314 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.317 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, oset: 0x7f1fdbb20ea0, sigsetsize: 8        ) = 0
     0.319 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: HUP, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.322 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: HUP, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.324 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: INT, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.326 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: INT, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.328 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: QUIT, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.330 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: QUIT, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.332 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ILL, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.335 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ILL, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.337 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TRAP, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.339 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TRAP, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.341 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.343 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.345 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.347 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.350 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f1fdbb20db0, sigsetsize: 8            ) = 0
     0.352 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f1fdbb20d10, sigsetsize: 8             ) = 0
     0.354 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
