         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55b78bf0e000
     0.498 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.500 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7fc50d794db0, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7fc50d794d10, sigsetsize: 8             ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7fc50d794db0, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7fc50d794d10, sigsetsize: 8             ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.512 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.514 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.516 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.518 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.535 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.539 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.542 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7fc50d794db0, sigsetsize: 8         ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7fc50d794d10, sigsetsize: 8          ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.570 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.573 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.576 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7fc50d794db0, sigsetsize: 8            ) = 0
     0.578 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7fc50d794d10, sigsetsize: 8             ) = 0
     0.580 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.584 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.586 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.591 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7fc50d794db0, sigsetsize: 8         ) = 0
     0.594 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7fc50d794d10, sigsetsize: 8          ) = 0
     0.596 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.598 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7fc50d794db0, sigsetsize: 8          ) = 0
     0.603 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7fc50d794d10, sigsetsize: 8           ) = 0
     0.606 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7fc50d794db0, sigsetsize: 8             ) = 0
     0.609 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7fc50d794d10, sigsetsize: 8              ) = 0
