         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.831 ( 0.004 ms): sleep/7 munmap(addr: 0x7f1b840de000, len: 13580                               ) = 0
     0.886 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x55d185b41000
     0.888 ( 0.002 ms): sleep/7 brk(brk: 0x55d185b62000                                               ) = 0x55d185b62000
     0.906 ([31m18446744073708.957 ms[m): sleep/7 nanosleep(rqtp: 0x7fffc5d0a9f0                                        
     0.315 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.318 ( 0.001 ms): sleep/7 rt_sigprocmask(how: BLOCK, oset: 0x7f109a773ea0, sigsetsize: 8        ) = 0
     0.320 ( 0.001 ms): sleep/7 rt_sigaction(sig: HUP, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.322 ( 0.001 ms): sleep/7 rt_sigaction(sig: HUP, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.325 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.327 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.329 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.331 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.333 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.335 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.338 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.340 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.342 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.344 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.346 ( 0.001 ms): sleep/7 rt_sigaction(sig: BUS, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.348 ( 0.001 ms): sleep/7 rt_sigaction(sig: BUS, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.350 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.352 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.354 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR1, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.356 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR1, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.358 ( 0.001 ms): sleep/7 rt_sigaction(sig: SEGV, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.360 ( 0.001 ms): sleep/7 rt_sigaction(sig: SEGV, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.362 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
