     1.055 ( 0.003 ms): sleep/11 mmap(addr: 0x7f7ac4c85000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f7ac4c85000
     1.063 ( 0.001 ms): sleep/11 close(fd: 3                                                           ) = 0
     1.073 ( 0.001 ms): sleep/11 arch_prctl(option: 4098, arg2: 140165266437248                        ) = 0
     1.116 ( 0.004 ms): sleep/11 mprotect(start: 0x7f7ac4c7f000, len: 16384, prot: READ                ) = 0
     1.124 ( 0.003 ms): sleep/11 mprotect(start: 0x5649b6b4b000, len: 4096, prot: READ                 ) = 0
     1.129 ( 0.002 ms): sleep/11 mprotect(start: 0x7f7ac4eac000, len: 4096, prot: READ                 ) = 0
     1.133 ( 0.004 ms): sleep/11 munmap(addr: 0x7f7ac4ea8000, len: 13580                               ) = 0
     1.181 ( 0.001 ms): sleep/11 brk(                                                                  ) = 0x5649b6eab000
     1.183 ( 0.002 ms): sleep/11 brk(brk: 0x5649b6ecc000                                               ) = 0x5649b6ecc000
     1.204 ([33m 0.058 ms[m): sleep/11 nanosleep(rqtp: 0x7ffc631df5e0                                        ) = 0
     1.269 ( 0.001 ms): sleep/11 close(fd: 1                                                           ) = 0
     1.271 ( 0.001 ms): sleep/11 close(fd: 2                                                           ) = 0
     1.274 (     ?   ): sleep/11 exit_group(                                                           )
     1.274 ([31m18446744073708.688 ms[m): sleep/11  ... [[33mcontinued[m]: clone()
     0.415 ( 0.001 ms): sleep/11 close(fd: 3                                                           ) = 0
     0.418 ( 0.001 ms): sleep/11 rt_sigprocmask(how: BLOCK, oset: 0x7fa74156bea0, sigsetsize: 8        ) = 0
     0.420 ( 0.001 ms): sleep/11 rt_sigaction(sig: HUP, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.423 ( 0.001 ms): sleep/11 rt_sigaction(sig: HUP, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.425 ( 0.001 ms): sleep/11 rt_sigaction(sig: INT, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.427 ( 0.001 ms): sleep/11 rt_sigaction(sig: INT, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.429 ( 0.001 ms): sleep/11 rt_sigaction(sig: QUIT, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): sleep/11 rt_sigaction(sig: QUIT, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): sleep/11 rt_sigaction(sig: ILL, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.435 ( 0.001 ms): sleep/11 rt_sigaction(sig: ILL, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.438 ( 0.001 ms): sleep/11 rt_sigaction(sig: TRAP, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.440 ( 0.001 ms): sleep/11 rt_sigaction(sig: TRAP, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.442 ( 0.001 ms): sleep/11 rt_sigaction(sig: ABRT, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.444 ( 0.001 ms): sleep/11 rt_sigaction(sig: ABRT, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.446 ( 0.001 ms): sleep/11 rt_sigaction(sig: BUS, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.448 ( 0.001 ms): sleep/11 rt_sigaction(sig: BUS, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.450 ( 0.001 ms): sleep/11 rt_sigaction(sig: FPE, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.452 ( 0.001 ms): sleep/11 rt_sigaction(sig: FPE, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.455 ( 0.001 ms): sleep/11 rt_sigaction(sig: USR1, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.457 ( 0.001 ms): sleep/11 rt_sigaction(sig: USR1, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): sleep/11 rt_sigaction(sig: SEGV, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): sleep/11 rt_sigaction(sig: SEGV, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): sleep/11 rt_sigaction(sig: USR2, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.465 ( 0.001 ms): sleep/11 rt_sigaction(sig: USR2, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): sleep/11 rt_sigaction(sig: PIPE, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.470 ( 0.001 ms): sleep/11 rt_sigaction(sig: PIPE, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.472 ( 0.001 ms): sleep/11 rt_sigaction(sig: ALRM, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.474 ( 0.001 ms): sleep/11 rt_sigaction(sig: ALRM, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.476 ( 0.001 ms): sleep/11 rt_sigaction(sig: TERM, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.478 ( 0.001 ms): sleep/11 rt_sigaction(sig: TERM, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.480 ( 0.001 ms): sleep/11 rt_sigaction(sig: STKFLT, oact: 0x7fa74156bdb0, sigsetsize: 8         ) = 0
     0.482 ( 0.001 ms): sleep/11 rt_sigaction(sig: STKFLT, act: 0x7fa74156bd10, sigsetsize: 8          ) = 0
     0.484 ( 0.001 ms): sleep/11 rt_sigaction(sig: CHLD, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.486 ( 0.001 ms): sleep/11 rt_sigaction(sig: CHLD, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.488 ( 0.001 ms): sleep/11 rt_sigaction(sig: CONT, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.490 ( 0.001 ms): sleep/11 rt_sigaction(sig: CONT, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.492 ( 0.001 ms): sleep/11 rt_sigaction(sig: TSTP, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.494 ( 0.001 ms): sleep/11 rt_sigaction(sig: TSTP, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): sleep/11 rt_sigaction(sig: TTIN, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): sleep/11 rt_sigaction(sig: TTIN, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.500 ( 0.001 ms): sleep/11 rt_sigaction(sig: TTOU, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.502 ( 0.001 ms): sleep/11 rt_sigaction(sig: TTOU, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.504 ( 0.001 ms): sleep/11 rt_sigaction(sig: URG, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.505 ( 0.001 ms): sleep/11 rt_sigaction(sig: URG, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.507 ( 0.001 ms): sleep/11 rt_sigaction(sig: XCPU, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): sleep/11 rt_sigaction(sig: XCPU, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): sleep/11 rt_sigaction(sig: XFSZ, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.513 ( 0.001 ms): sleep/11 rt_sigaction(sig: XFSZ, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
