         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.028 ( 0.002 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x564e22b8e000
     0.478 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, oact: 0x7fc3a6680db0, sigsetsize: 8         ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, act: 0x7fc3a6680d10, sigsetsize: 8          ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.531 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, oact: 0x7fc3a6680db0, sigsetsize: 8         ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, act: 0x7fc3a6680d10, sigsetsize: 8          ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, oact: 0x7fc3a6680db0, sigsetsize: 8          ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, act: 0x7fc3a6680d10, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, oact: 0x7fc3a6680db0, sigsetsize: 8             ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, act: 0x7fc3a6680d10, sigsetsize: 8              ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x20, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x21, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.574 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.576 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.578 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.580 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.582 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x24, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.584 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x24, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.586 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x25, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.588 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x25, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.590 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x26, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.591 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x26, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.593 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x27, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x27, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.602 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.603 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.605 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.607 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.608 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.610 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.612 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.614 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.616 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.618 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.620 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.621 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.623 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.625 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.627 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.629 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.631 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.633 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.635 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.637 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.639 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.641 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.643 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.645 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.647 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.649 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.651 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.654 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.656 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.658 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.660 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.662 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.664 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.666 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.668 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.670 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.672 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.674 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.676 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.678 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.680 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.682 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.683 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.685 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.687 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.689 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.691 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.693 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.695 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: SETMASK, nset: 0x7ffe0f408ac8, sigsetsize: 8      ) = 0
     0.707 ([33m 0.017 ms[m): pesquisaOverhe/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = -2
     0.725 ( 0.005 ms): pesquisaOverhe/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = -2
     0.731 ( 0.004 ms): pesquisaOverhe/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = -2
     0.736 ( 0.004 ms): pesquisaOverhe/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = -2
     0.742 ( 0.004 ms): pesquisaOverhe/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = -2
     0.747 ([33m 0.236 ms[m): pesquisaOverhe/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = -2
     0.988 ([33m 0.094 ms[m): sleep/9 execve(filename: 0xa6680d80, argv: 0x7ffe0f408d70                     ) = 0
     1.096 ( 0.001 ms): sleep/9 brk(                                                                  ) = 0x5628efac0000
     1.110 ( 0.004 ms): sleep/9 access(filename: 0x5c89c4e7                                           ) = -1 ENOENT No such file or directory
     1.116 ( 0.002 ms): sleep/9 access(filename: 0x5c89ec70, mode: R                                  ) = -1 ENOENT No such file or directory
