     0.340 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.343 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f356ce3ddb0, sigsetsize: 8            ) = 0
     0.345 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f356ce3dd10, sigsetsize: 8             ) = 0
     0.347 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f356ce3ddb0, sigsetsize: 8            ) = 0
     0.349 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f356ce3dd10, sigsetsize: 8             ) = 0
     0.351 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.353 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.355 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.358 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.360 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.362 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.364 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.366 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.368 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.370 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.372 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.374 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.377 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f356ce3ddb0, sigsetsize: 8         ) = 0
     0.379 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f356ce3dd10, sigsetsize: 8          ) = 0
     0.381 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
