         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55d52c105000
     0.412 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, act: 0x7f1bb02eed10, sigsetsize: 8             ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.415 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.417 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.421 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.423 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.425 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, oact: 0x7f1bb02eedb0, sigsetsize: 8         ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, act: 0x7f1bb02eed10, sigsetsize: 8          ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.438 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
