         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.348 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.350 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.352 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.354 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.356 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.358 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.360 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.363 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.367 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.369 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.371 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.373 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.375 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.378 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, oact: 0x7f2f9470ddb0, sigsetsize: 8         ) = 0
     2.380 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, act: 0x7f2f9470dd10, sigsetsize: 8          ) = 0
     2.382 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.384 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.386 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.388 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.390 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.393 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
