     0.466 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.470 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.478 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.489 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: SETMASK, nset: 0x7ffe034ee8e8, sigsetsize: 8      ) = 0
     0.572 ([33m 0.087 ms[m): sleep/9 execve(filename: 0x54de5a36, argv: 0x7ffe034eeb90                     ) = 0
     0.672 ( 0.001 ms): sleep/9 brk(                                                                  ) = 0x560af3289000
     0.684 ( 0.003 ms): sleep/9 access(filename: 0x7aac74e7                                           ) = -1 ENOENT No such file or directory
     0.692 ( 0.002 ms): sleep/9 access(filename: 0x7aac9c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.696 ( 0.003 ms): sleep/9 open(filename: 0x7aac7988, flags: CLOEXEC                             ) = 3
     0.701 ( 0.002 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffe440c4140                                  ) = 0
     0.704 ( 0.003 ms): sleep/9 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f3c7acc9000
     0.708 ( 0.001 ms): sleep/9 close(fd: 3                                                           ) = 0
     0.712 ( 0.002 ms): sleep/9 access(filename: 0x7aac74e7                                           ) = -1 ENOENT No such file or directory
     0.725 ( 0.008 ms): sleep/9 open(filename: 0x7accfd68, flags: CLOEXEC                             ) = 3
     0.734 ([33m 0.010 ms[m): sleep/9 read(fd: 3, buf: 0x7ffe440c42e8, count: 832                           ) = 832
     0.751 ( 0.003 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffe440c4180                                  ) = 0
