         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x5585c0ca6000
     0.351 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ABRT, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.353 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: BUS, oact: 0x7fde83092db0, sigsetsize: 8            ) = 0
     0.355 ([33m 0.020 ms[m): pesquisaOverhe/7 rt_sigaction(sig: BUS, act: 0x7fde83092d10, sigsetsize: 8             ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: FPE, oact: 0x7fde83092db0, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: FPE, act: 0x7fde83092d10, sigsetsize: 8             ) = 0
     0.381 ( 0.002 ms): pesquisaOverhe/7 rt_sigaction(sig: USR1, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.385 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR1, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.387 ( 0.002 ms): pesquisaOverhe/7 rt_sigaction(sig: SEGV, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.390 ( 0.002 ms): pesquisaOverhe/7 rt_sigaction(sig: SEGV, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.393 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR2, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.396 ( 0.002 ms): pesquisaOverhe/7 rt_sigaction(sig: USR2, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.398 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PIPE, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PIPE, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ALRM, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.404 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ALRM, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.406 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, oact: 0x7fde83092db0, sigsetsize: 8         ) = 0
     0.412 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, act: 0x7fde83092d10, sigsetsize: 8          ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CONT, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CONT, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.422 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TSTP, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TSTP, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTIN, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTIN, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTOU, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTOU, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, oact: 0x7fde83092db0, sigsetsize: 8            ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, act: 0x7fde83092d10, sigsetsize: 8             ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, oact: 0x7fde83092db0, sigsetsize: 8         ) = 0
